Scheme Rule,Count
"The following sets for the said scholarship are approved for Colleges as follows: Government Colleges - Total - 54 Government Institute of Science, Aurangabad - 6 Ismail Yusuf College, Mumbai -4 Government Law College, Mumbai - 4 Sydenham College of Commerce and Economics, Mumbai - 4 Government Institute of Science, Mumbai - 6 Elphinstone College, Mumbai - 4 Government Institute of Science, Nagpur - 6 Vasantrao Naik Government Arts and Social Science Institute, Nagpur - 6 Government Vidarbha Knowledge Institute of Science, Amravati - 6 Rajaram College, Kolhapur - 6",1
Aplhabudharak/Registered Labour. No Limit and all eligibile students meeting other criteria is eligible for Schemes,1
"Under this scheme, there will be no limit on the number of students eligible for the maintenance allowance if their income is up to ₹1.00 lakh. However, for students with an income limit of ₹1.00 lakh to ₹8.00 lakh who are taking admission to professional courses, a maximum limit of 500 beneficiaries is fixed for each district. Of these, 33% of the seats are reserved for female students. If insufficient female students are available, the vacant seats can be utilized for male students in the same district.",1
"Senior College: For renewal, students need a minimum of 65 percent marks in the previous year.",1
"Meritorious students in the examinations of the Mumbai, Pune, Latur, Aurangabad, Nashik, Kolhapur, Amravati, Nagpur, and Konkan divisions of the Maharashtra State Secondary Education Board are selected annually as follows: First five students (5) from the general merit list. First two girls (2) according to merit. First two students (2) from the backward classes according to merit. First two students (2) from the Science faculty. First two students (2) from the Arts faculty. First two students (2) from the Commerce faculty. A total of 15 students per division, making a grand total of 135 students from the 9 divisional boards.",1
"Meritorious students in the examinations of the Mumbai, Pune, Latur, Aurangabad, Nashik, Kolhapur, Amravati, Nagpur, and Konkan divisions of the Maharashtra State Secondary Education Board are selected annually as follows: First five students (5) from the general merit list. First three girls (3) according to merit. First three students (3) from the backward classes according to merit. A total of 11 students per division, making a grand total of 99 students from the 9 divisional boards.",1
"Junior College: For renewal, students need a minimum of 55 percent marks in the previous year.",1
"While preparing the merit list, if two or more students secure equal marks, preference shall be given to the student with lower annual family income.",1
"While preparing the merit list, 70% seats shall be filled through general merit, and 30% seats shall be reserved for girls.",1
"Under this scheme, 30% of the scholarships shall be reserved for girls. If no eligible girl students are available within a particular minority community, then the scholarships shall be awarded to boys from the same minority community.",1
The girls included in the 70% general list shall not be counted again in the 30% reserved list.,1
"First, a general merit list of 70% students (including girls) shall be prepared. Thereafter, 30% of the scholarships shall be awarded to girls.",1
Person should have minimum 40% disability,1
Renewal will have the same benefits and eligibility criteria.,1
"If a student fails more than once in a class, then the student is not eligible till she passes the class.",1
Student should not take benefits of any other scholarship scheme/stipend else he/she is not eligible.,1
There is no Income limit for this scheme.,1
Student must not be a resident of government-aided hostel or aided residential school.,1
The student must be studying in 6th to 10th Class/Grade.,1
Parents/Guardians must be engaged in Unclean and Hazardous Occupation.,1
The student must be studying in 9th to 10th Class/Grade.,1
"Annual family income (Parents/Guardians) must be ₹1,50,000 or less.",1
The Student must belong to Below Poverty Line (BPL).,1
"If a student fails for the year, the student is not eligible till she passes the class.",1
"If a student takes admission for a course in an institute within their normal place of residence (village/city), they will not be eligible for a maintenance allowance.",1
Minimum 75% attendance is required.,1
"Under this scheme, 30% of the scholarships is reserved for girls. First list of 70% students (combined) is prepared and after that 30% girls’ scholarship will be selected which are not included in 70% list.",1
The Applicants must be graduate from Science having 75% marks.,1
Only two children in a family are eligible for the scheme.,1
Applicant must be “Bonafide Student of Institute” and admitted in courses as notified under DMER Government Resolution dated 07-10-2017 (DMER courses).).,1
Applicant must appear for every semester or annual examination.,1
Applicant must be “Bonafide Student of Institute” and admitted in courses as notified under DMER Government Resolution dated 07-10-2017 (DMER courses).,1
